region,year,AveragePrice,Total Volume,4046,4225,4770,Total Bags in thousands,Small Bags in thousands,Large Bags,XLarge Bags,Tipo_conventional,Tipo_organic
Albany,2015,1.5387500000000005,4029848,55588,3219776,34755,719.6555999999996,701.4724499999998,18045.649999999998,137.5,52,52
Albany,2016,1.533942307692308,5264285,282608,4139963,3337,838.2999099999996,793.4166399999996,23190.33,21692.94,52,52
Albany,2017,1.6378301886792455,5231535,170453,4209471,16034,835.5056000000003,523.9591900000001,292884.24000000005,18663.17,53,53
Albany,2018,1.435833333333333,1541973,107729,1146593,841,286.79350000000005,228.09645000000003,55761.50000000001,2935.55,12,12
Atlanta,2015,1.3805769230769231,23231644,18179800,2015398,39381,2996.9908700000015,1881.4943600000001,1114614.350000001,882.1600000000001,52,52
Atlanta,2016,1.2141346153846153,28326827,13595009,4732779,22229,9976.736579999997,5446.4064800000015,4495904.889999999,34425.21000000001,52,52
Atlanta,2017,1.4287735849056606,28815066,13879855,3244066,23898,11667.167169999997,7434.009909999996,4028309.540000001,204846.71999999997,53,53
Atlanta,2018,1.28875,8231412,3732672,559448,19653,3919.6189600000007,2680.8250899999994,1200846.28,37947.59,12,12
BaltimoreWashington,2015,1.3688461538461534,40645529,3194238,25577322,2385550,9488.314659999998,9222.49241,262347.8,3474.4500000000007,52,52
BaltimoreWashington,2016,1.5875961538461543,40893749,3611347,25546980,1379540,10355.779329999996,10000.195179999995,269549.35,86034.8,52,52
BaltimoreWashington,2017,1.6794339622641505,41015580,3921097,25079026,391226,11624.132660000005,11122.21798,389257.5600000001,112656.12000000001,53,53
BaltimoreWashington,2018,1.3783333333333336,12158891,1324955,6938726,57269,3837.9194200000006,3772.707350000001,60392.08,4819.99,12,12
Boise,2015,1.3737499999999998,3784304,2389467,600674,276057,518.0345099999997,482.71744000000024,33605.659999999996,1711.4100000000003,52,52
Boise,2016,1.1419230769230775,4653458,1824329,284336,248368,2296.3736999999983,2177.190329999999,114330.44999999997,4852.92,52,52
Boise,2017,1.4926415094339625,4760516,2008064,227103,430779,2094.4992700000016,1751.43996,340495.22000000003,2562.0899999999992,53,53
Boise,2018,1.4925000000000006,1214749,544593,57780,121852,490.50476999999995,266.58486000000005,222596.98999999993,1322.92,12,12
Boston,2015,1.473557692307692,27454938,245628,21366623,83894,5758.714810000001,5680.950720000001,77618.25999999998,145.83,52,52
Boston,2016,1.426153846153846,30571266,594763,21684320,1359802,6932.296400000001,6829.8713,66104.82999999999,36320.270000000004,52,52
Boston,2017,1.679528301886792,30610624,620085,22758021,201985,7030.455600000001,6014.934140000001,977171.1200000003,38348.34,53,53
Boston,2018,1.5766666666666662,8636994,227541,6597184,38239,1774.0099900000005,1384.6713800000002,379273.05999999994,10065.55,12,12
BuffaloRochester,2015,1.5446153846153845,5893181,81091,2617494,35186,3159.337249999999,3132.4664600000015,26737.45,133.34,52,52
BuffaloRochester,2016,1.4838461538461531,7205064,86047,3501755,9672,3607.510749999999,3466.9326,105366.49,35211.66,52,52
BuffaloRochester,2017,1.5877358490566038,7740252,278199,3634983,3020,3823.9753700000006,3282.2099100000005,500783.97000000015,40982.490000000005,53,53
BuffaloRochester,2018,1.22625,2123804,155025,948009,826,1019.92826,386.82282,627530.9900000002,5574.45,12,12
California,2015,1.3158653846153852,301407383,145495221,108385521,10464435,37062.116070000004,34734.89386,2128067.099999999,199155.10999999987,52,52
California,2016,1.3299038461538462,326188331,108263979,109592152,12232470,96099.63960999997,86717.31533000001,8022428.040000001,1359896.2400000002,52,52
California,2017,1.533867924528302,317644480,114949333,105147421,7710615,89837.03427999996,85277.47005000002,1741183.429999999,2818380.8,53,53
California,2018,1.41125,83741295,30258318,28366143,1433413,23683.403750000005,22368.000649999998,420257.34,895145.76,12,12
Charlotte,2015,1.575769230769231,9487294,1786131,2693082,2196773,2811.19786,2591.1867099999995,219912.53999999998,98.61,52,52
Charlotte,2016,1.497884615384615,10586670,2172663,4076967,1236887,3100.0482500000007,2699.2253099999984,379297.9500000002,21524.99,52,52
Charlotte,2017,1.769811320754717,11895543,2776673,4505765,411154,4201.84687,3840.50107,313369.1399999999,47976.659999999996,53,53
Charlotte,2018,1.4825000000000002,3585876,828178,1104285,68538,1584.8494299999998,1512.9384799999996,71907.62,3.33,12,12
Chicago,2015,1.404038461538462,41494670,1844122,29341126,5690200,4619.1443800000025,4421.151760000003,155350.54999999996,42642.070000000014,52,52
Chicago,2016,1.5473076923076934,39612585,2768672,25367053,6252400,5224.379510000001,4833.246040000002,243128.32999999996,148005.13999999998,52,52
Chicago,2017,1.7148113207547169,40980705,4830305,24661881,6297622,5190.793029999999,4305.788889999999,704786.7799999998,180217.36000000004,53,53
Chicago,2018,1.5616666666666668,11614221,1400824,6657211,1725084,1831.0837000000001,1234.46638,588609.1799999999,8008.14,12,12
CincinnatiDayton,2015,1.2023076923076923,11756125,248137,7989180,477174,3041.557680000001,1083.5919699999995,1855712.3499999999,102253.35999999999,52,52
CincinnatiDayton,2016,1.088365384615385,14020814,225192,7151770,429244,6214.534399999998,1178.34991,4919251.339999999,116933.14999999998,52,52
CincinnatiDayton,2017,1.3194339622641504,15146629,414844,5042144,105542,9583.303939999998,1688.1617999999999,7882073.839999996,13069.300000000003,53,53
CincinnatiDayton,2018,1.2758333333333336,3598275,940818,454645,144272,2058.5224199999993,1711.7902400000005,315157.26,31574.920000000002,12,12
Columbus,2015,1.2738461538461539,7849726,3683723,1893824,929256,1342.8483499999993,992.5814800000003,254578.44999999998,95688.42000000001,52,52
Columbus,2016,1.1863461538461542,9059419,3812873,1941840,609528,2695.0899899999986,2083.2232800000006,506773.3699999997,105093.34,52,52
Columbus,2017,1.315660377358491,10240159,4201913,1505260,96605,4436.215060000001,3826.1941500000003,599162.4099999999,10859.499999999998,53,53
Columbus,2018,1.1716666666666666,2843890,887449,374593,39593,1542.23383,1168.7938,364365.7700000001,9074.259999999998,12,12
DallasFtWorth,2015,1.0778846153846149,60311254,35487209,17787354,1061386,5975.230350000002,5325.03271,604706.0999999997,45491.53999999999,52,52
DallasFtWorth,2016,0.9961538461538464,63695203,32097575,13333093,2592869,15671.587789999996,14753.328390000006,701523.3599999998,216736.04000000007,52,52
DallasFtWorth,2017,1.1769811320754713,66240930,34117504,13084316,496170,18542.869629999997,15715.666870000001,2801779.91,25420.85,53,53
DallasFtWorth,2018,1.1029166666666665,18171735,8854011,2965577,72064,6280.064780000001,5027.708110000001,1107712.02,144644.65,12,12
Denver,2015,1.187788461538462,39190288,7691677,21745006,746520,9006.989459999997,2865.2847899999983,6138360.100000002,3344.57,52,52
Denver,2016,1.0931730769230765,45307713,8063316,13624352,1016067,22603.870499999994,5817.896560000002,16750597.5,35376.439999999995,52,52
Denver,2017,1.3577358490566032,42559025,8405799,12247097,775613,21130.414140000004,8406.143900000003,12710567.910000004,13703.329999999998,53,53
Denver,2018,1.2808333333333337,11845342,2267884,3193905,167796,6215.732900000001,1674.27992,4541396.04,56.94,12,12
Detroit,2015,1.3382692307692308,17979526,6572793,3519070,4019804,3867.7838599999986,3261.4861499999975,143597.89000000004,462699.81999999995,52,52
Detroit,2016,1.1724038461538464,18907408,5945851,3498995,2751707,6710.774870000003,5299.275200000001,836379.8599999995,575119.81,52,52
Detroit,2017,1.339056603773585,20512372,5053932,3536760,1420494,10499.449739999996,8893.240459999995,1142889.6600000001,463318.62000000005,53,53
Detroit,2018,1.1779166666666665,6022945,1210403,1207195,422714,3182.05688,2485.0695800000003,549101.1100000001,147886.19,12,12
GrandRapids,2015,1.4163461538461537,9740892,209999,6067554,600749,2862.5095300000003,2596.4608900000003,182429.16999999998,83619.46999999999,52,52
GrandRapids,2016,1.5093269230769235,9146818,135636,5766758,471584,2772.7665099999995,2405.6820199999993,248259.76999999984,118824.71999999999,52,52
GrandRapids,2017,1.6277358490566043,8754408,111386,4332168,1533091,2777.67636,2046.23209,307032.67000000004,424410.6,53,53
GrandRapids,2018,1.3283333333333334,2569452,36077,1074881,702332,756.14155,485.10205999999994,59078.91,211960.58,12,12
GreatLakes,2015,1.3262500000000002,169387925,25173550,92874146,17283338,34056.79940000001,26462.753989999997,6183260.530000002,1410784.88,52,52
GreatLakes,2016,1.2770192307692307,177739980,25637235,85611273,15141391,51349.994360000026,35140.33392,14160804.820000002,2048855.6199999999,52,52
GreatLakes,2017,1.4246226415094347,189353816,32337978,72485217,13050207,71469.19430000002,45595.64232,23769226.220000003,2104326.76,53,53
GreatLakes,2018,1.2783333333333333,53160667,10568083,16286918,4600919,21699.660720000007,16088.754140000003,4782349.879999998,828556.7,12,12
HarrisburgScranton,2015,1.4716346153846158,11637852,1844371,6225782,35811,3531.7869100000003,3417.514600000001,105860.67,8411.64,52,52
HarrisburgScranton,2016,1.511634615384616,13124772,2218431,6464976,17260,4424.004489999999,4185.736489999996,164139.6,74128.4,52,52
HarrisburgScranton,2017,1.5957547169811324,13144270,2484220,6354308,19190,4286.4516699999995,3976.305470000001,252835.6300000001,57312.57,53,53
HarrisburgScranton,2018,1.3366666666666667,3901800,968334,1644511,1920,1287.01106,1193.31566,78929.85,14765.550000000003,12,12
HartfordSpringfield,2015,1.7477884615384622,15162199,239966,11699622,74357,3148.15304,3010.4186500000005,137656.61,77.78,52,52
HartfordSpringfield,2016,1.8510576923076936,15697899,403069,11655624,28387,3610.71996,3512.671360000001,65255.83000000001,32792.77,52,52
HartfordSpringfield,2017,1.8883018867924524,15322551,526311,11100614,63909,3631.63289,3381.7272499999995,214590.88999999996,35312.75000000001,53,53
HartfordSpringfield,2018,1.6775,4487727,150141,3391599,3461,942.5067399999998,873.7434199999999,59344.9,9418.42,12,12
Houston,2015,1.0480769230769231,55387416,27809166,20168914,1017521,6391.737999999999,3913.5441599999995,2416209.84,61984.0,52,52
Houston,2016,0.9919230769230768,58704732,29469679,13679645,3713968,11841.365370000009,6408.96729,5181016.689999999,251381.39000000007,52,52
Houston,2017,1.1040566037735848,69093042,33380761,11702132,649284,23360.792830000006,14927.579259999993,8429192.860000001,4020.7099999999996,53,53
Houston,2018,1.0420833333333333,19982505,9113130,2173573,74616,8621.16782,7275.076629999999,1337344.5399999998,8746.65,12,12
Indianapolis,2015,1.3429807692307696,8189014,353915,5033976,586502,2214.5360100000003,1274.12558,837505.8700000005,102904.55999999997,52,52
Indianapolis,2016,1.3015384615384613,9164402,667345,4574508,585639,3336.8277000000003,1841.049169999999,1364131.0799999994,131647.45,52,52
Indianapolis,2017,1.330754716981132,10001148,677197,4181863,114046,5026.575860000003,2327.534789999999,2672517.7200000016,26523.35,53,53
Indianapolis,2018,1.1683333333333332,2908665,726880,673322,104891,1402.8704500000003,1168.35408,212101.77,22414.600000000002,12,12
Jacksonville,2015,1.503076923076923,7176424,4697003,728801,40697,1709.8292699999997,992.3574999999997,717265.3300000002,206.44,52,52
Jacksonville,2016,1.367692307692308,9711784,4416449,1662566,18925,3613.736449999999,1296.2646499999998,2261494.8,55977.00000000001,52,52
Jacksonville,2017,1.6715094339622634,9193234,4868937,967084,8240,3348.8819999999987,1545.69652,1756096.5999999999,47087.880000000005,53,53
Jacksonville,2018,1.456666666666667,2708393,1489151,168123,5413,1045.67977,505.4678999999999,538147.42,2064.45,12,12
LasVegas,2015,1.3688461538461534,15542381,6605353,6074858,327015,2535.0718200000015,2022.006859999999,513049.68,15.28,52,52
LasVegas,2016,1.352403846153846,16906963,6561925,4248081,428265,5668.612840000004,2867.9215699999995,2796027.389999999,4663.879999999999,52,52
LasVegas,2017,1.4178301886792455,17433784,5690719,3609363,338091,7795.5385700000015,3081.800059999999,4707653.409999998,6084.0999999999985,53,53
LasVegas,2018,1.39375,4493621,928974,1431954,78906,2053.7701799999995,1005.89487,1042584.2499999999,5291.06,12,12
LosAngeles,2015,1.1525,148220640,90357933,32732281,3832836,21297.511150000002,19631.89924,1477896.8599999992,187715.04999999996,52,52
LosAngeles,2016,1.08375,163142250,55734964,35609037,4200558,67597.61041,60905.66187999997,5524770.669999999,1167177.8599999999,52,52
LosAngeles,2017,1.3773584905660377,158481119,62259442,27523854,4629465,64068.28442000001,60751.17964999999,1170728.0300000003,2146377.7399999998,53,53
LosAngeles,2018,1.3516666666666666,38052366,15526866,6268634,955730,15301.122450000003,14437.36324,289749.91000000003,574009.2999999999,12,12
Louisville,2015,1.294423076923077,4288952,141438,2750026,167439,1229.9758700000002,621.5810399999998,572272.8900000004,36121.939999999995,52,52
Louisville,2016,1.2115384615384612,5076273,112735,2952319,155229,1855.9212300000002,699.3509200000002,1100922.0399999998,55648.270000000004,52,52
Louisville,2017,1.357075471698114,5260062,166597,2303906,12792,2776.71194,1000.4857599999999,1766391.8899999994,9834.289999999997,53,53
Louisville,2018,1.2679166666666666,1471548,288653,406252,3951,772.67974,492.82348,273537.78,6318.48,12,12
MiamiFtLauderdale,2015,1.3835576923076922,25166461,17573233,2868407,18187,4706.5566,2666.4648800000004,2038581.4900000002,1510.23,52,52
MiamiFtLauderdale,2016,1.2798076923076924,31885010,16025730,6795043,14301,9049.85645,3613.7769200000002,5254598.960000001,181480.56999999998,52,52
MiamiFtLauderdale,2017,1.6375471698113209,30880178,18932921,4411412,47644,7488.126810000002,3654.3802200000005,3712716.7300000014,121028.86000000002,53,53
MiamiFtLauderdale,2018,1.344166666666667,9741410,6608044,836258,25182,2271.9029000000005,1285.3516499999996,984912.9200000002,1638.33,12,12
Midsouth,2015,1.3513461538461546,140221868,30868724,65578977,10858596,32915.45897,29647.44831,3181595.9199999995,86414.74000000002,52,52
Midsouth,2016,1.3508653846153846,154260447,33167567,71200728,6081828,43810.21161,36905.31442999999,6312891.8100000005,592005.37,52,52
Midsouth,2017,1.5205660377358492,165553501,35422660,68599984,1773035,59757.664779999985,50400.08398,8758283.620000001,599296.1800000002,53,53
Midsouth,2018,1.3583333333333336,48313384,10971519,16993211,318327,20030.291459999997,17411.596260000002,2518094.3600000003,100600.84,12,12
Nashville,2015,1.2772115384615383,8661866,5396918,974603,514847,1775.4139499999985,1357.58516,410004.67999999993,7824.11,52,52
Nashville,2016,1.1161538461538463,10499124,5102446,1479712,118916,3797.97226,2699.5295099999994,1079105.6200000006,19337.129999999997,52,52
Nashville,2017,1.2400000000000004,12938592,6107386,1175094,7111,5648.933780000002,4660.31505,925316.8899999999,63302.840000000004,53,53
